id,app_name,package_name,date_of_analysis,developer,category,number_of_downloads,data_safety_link,privacy_policy_link
84,Rama Navami Photo Frames,com.ramnavami.ramanavamiphotoframes,15-09-2023,Andro home,Photography,50K+,https://play.google.com/store/apps/datasafety?id=com.ramnavami.ramanavamiphotoframes,http://androhomeprivacypolicy.blogspot.com/
85,"Video Dating, Chat, Meet",com.meetoutside.meetoutsideapp,15-09-2023,MeetOutside.com,Dating,10K+,https://play.google.com/store/apps/datasafety?id=com.meetoutside.meetoutsideapp,http://www.meetoutside.com/WebPages/MO_PrivacyPolicy.aspx
86,Veggly – Vegan Dating App,com.veggly,15-09-2023,Similar Souls do Brasil,Dating,500K+,https://play.google.com/store/apps/datasafety?id=com.veggly,http://www.veggly.net/privacy-policy/
87,Shivaji Jayanti PhotoFrames HD,com.shivajijayantiphotoframes,15-09-2023,Andro home,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.shivajijayantiphotoframes,http://androhomeprivacypolicy.blogspot.com/
88,Girls Photo Suits Editor,com.kingsstore.GirlsPhotoSuitsEditor,15-09-2023,kings store,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.kingsstore.GirlsPhotoSuitsEditor,https://kingsstore14.blogspot.com/p/privacy-policy.html
89,YoCutie - Dating. Flirt. Chat.,de.appfiction.yocutiegoogle,15-09-2023,App Fiction GmbH,Dating,5M+,https://play.google.com/store/apps/datasafety?id=de.appfiction.yocutiegoogle,https://www.yocutie.com/privacy
90,420 Singles,singles420.entrision.com.singles420,15-09-2023,420 Singles,Dating,100K+,https://play.google.com/store/apps/datasafety?id=singles420.entrision.com.singles420,http://420singles.com/privacy_policy.html
91,ZenDate - Meet Asian Singles,com.chinalove,15-09-2023,Asteri Solutions Limited,Dating,500K+,https://play.google.com/store/apps/datasafety?id=com.chinalove,https://www.zendate.com/privacy-policy/
92,Sri Rama Navami photo frames,com.mvltrapps.srirama.navami.photo.frame.effect,15-09-2023,MVLTR Apps,Photography,50K+,https://play.google.com/store/apps/datasafety?id=com.mvltrapps.srirama.navami.photo.frame.effect,https://mvltrapps.com/privacy-policy.php
93,Artistic Photo Style Transfer,com.telestra.art.painting.artistic.photography,15-09-2023,Telestra Infratech Pvt Ltd.,Photography,50K+,https://play.google.com/store/apps/datasafety?id=com.telestra.art.painting.artistic.photography,https://www.app-privacy-policy.com/live.php?token=gwxDvvNsOdnsgEpjMF3pV3psWPHTEXoq
94,Indian Bride Wedding Suit,com.kingsstore.IndianBrideWeddingPhotoMontage,15-09-2023,kings store,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.kingsstore.IndianBrideWeddingPhotoMontage,https://kingsstore14.blogspot.com/p/privacy-policy.html
95,Music Show - Video Slideshow,com.km.musicslideshow,15-09-2023,Dexati,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.km.musicslideshow,https://www.dexati.com/privacy1android.html
96,Selfie photo frames,com.mvltrapps.selfiephotoframemaker,15-09-2023,MVLTR Apps,Photography,500K+,https://play.google.com/store/apps/datasafety?id=com.mvltrapps.selfiephotoframemaker,https://mvltrapps.com/privacy-policy.php
97,Girls Designer Frock Suits,com.kingsstore.GirlsDesignerFrockPhotoEditor,15-09-2023,kings store,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.kingsstore.GirlsDesignerFrockPhotoEditor,https://kingsstore14.blogspot.com/p/privacy-policy.html
98,Photo Lite - Photo Editor,com.photo.editor.makeup.face,15-09-2023,Family Photo Frame,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.photo.editor.makeup.face,http://www.privacypolicycenter.com/view.php?v=cExXNXhtdjZzVC95QWZ6aEFjeUZQQT09&n=Anylight---Photo-Editor
99,Valentine's Day Photo Frame,com.appwallet.ValentinesDayFrames,15-09-2023,Appwallet Technologies,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.appwallet.ValentinesDayFrames,http://www.appwallettech.com/privacy-policy-appwallet/
100,The Bro App (BRO),com.brotechllc.thebroapp,15-09-2023,BroTech LLC,Dating,100K+,https://play.google.com/store/apps/datasafety?id=com.brotechllc.thebroapp,http://www.broapp.com/privacy
